Orginal,Year,Category,Order,People,Films,Original
14,1959,ニュース映画賞,12,,,ニュース映画賞	日活世界ニュース「希望訪問・水俣病をさぐる」を含む第257号毎日映画社
14,1959,特別賞,13,,,特別賞	杉山公平勤続40年にあたり、日本映画の撮影技術の向上ならびに後進指導に尽くされた功績
14,1959,演技特別賞,14,,,演技特別賞	高橋恵美子　奥の山ジョージ「キクとイサム」大東映画
15,1960,日本映画大賞,0,,おとうと,
15,1960,監督賞,1,市川崑,"おとうと,女経(第二話)",監督賞	市川 崑「おとうと」大映、「女経(第二話)」大映
15,1960,脚本賞,2,橋本忍,"黒い画集,いろはにほへと",脚本賞	橋本 忍「黒い画集」東宝、「いろはにほへと」松竹
15,1960,男優主演賞,3,小林桂樹,黒い画集,男優主演賞	小林桂樹「黒い画集」東宝
15,1960,女優主演賞,4,岸恵子,おとうと,女優主演賞	岸 恵子「おとうと」大映
15,1960,男優助演賞,5,森雅之,"おとうと,悪い奴ほどよく眠る",男優助演賞	森 雅之「おとうと」大映、「悪い奴ほどよく眠る」東宝
15,1960,女優助演賞,6,田中絹代,おとうと,女優助演賞	田中絹代「おとうと」大映
15,1960,撮影賞,7,宮川一夫,おとうと,撮影賞	宮川一夫「おとうと」大映
15,1960,美術賞,8,下河原友雄,おとうと,美術賞	下河原友雄「おとうと」大映
15,1960,音楽賞,9,佐藤勝,"悪い奴ほどよく眠る,筑豊のこどもたち,独立愚連隊西へ",音楽賞	佐藤 勝「悪い奴ほどよく眠る」東宝、「筑豊のこどもたち」東宝、「独立愚連隊西へ」東宝
15,1960,録音賞,10,神谷正和,"やくざ先生,あした晴れるか",録音賞	神谷正和「やくざ先生」日活、「あした晴れるか」日活
15,1960,教育文化映画賞,11,,,教育文化映画賞	長編記録映画：「人間みな兄弟」部落・製作委員会 理科映画：「新昆虫記―蜂の生活」東映教育映画部 短編劇映画：「北白川こども風土記」共同映画社 科学映画：「マリン・スノー＝石油の起源」東京シネマ
15,1960,(企画賞),12,,,(企画賞)	「マリン・スノー＝石油の起源」丸善石油
15,1960,ニュース映画賞,13,,,ニュース映画賞	朝日ニュース「血ぬられた安保新条約」を含む第797号日本映画新社 毎日ニュース「ハガチー氏デモ隊に囲まる」(特報添付)を含む第289号毎日映画社
15,1960,特別賞,14,,,特別賞	ヘンリー小谷日本映画の先覚者として近代的撮影技術を確立された功績
15,1960,教育文化映画特別賞,15,,,教育文化映画特別賞	吉田六郎理科映画「新昆虫記―蜂の生活」に示した画期的撮影技術
16,1961,日本映画大賞,0,,人間の條件　完結篇,
16,1961,監督賞,1,小林正樹,人間の條件　完結篇,監督賞	小林正樹「人間の條件　完結篇」松竹　にんじんプロ
16,1961,脚本賞,2,松山善三,"人間の條件　完結篇,名もなく貧しく美しく,二人の息子",脚本賞	松山善三「人間の條件　完結篇」松竹　にんじんプロ、「名もなく貧しく美しく」東宝、「二人の息子」東宝
16,1961,男優主演賞,3,仲代達矢,"人間の條件　完結篇,永遠の人",男優主演賞	仲代達矢「人間の條件　完結篇」松竹　にんじんプロ、「永遠の人」松竹
16,1961,女優主演賞,4,高峰秀子,"永遠の人,名もなく貧しく美しく",女優主演賞	高峰秀子「永遠の人」松竹、「名もなく貧しく美しく」東宝
16,1961,男優助演賞,5,三國連太郎,"はだかっ子,飼育",男優助演賞	三國連太郎「はだかっ子」東映、「飼育」パレスフィルムプロ　その他
16,1961,女優助演賞,6,新珠三千代,"小早川家の秋,南の風と波",女優助演賞	新珠三千代「小早川家の秋」東宝、「南の風と波」東宝
16,1961,撮影賞,7,宮島義勇,人間の條件　完結篇,撮影賞	宮島義勇「人間の條件　完結篇」松竹　にんじんプロ
16,1961,美術賞,8,桂長四郎,反逆児,美術賞	桂 長四郎「反逆児」東映
16,1961,音楽賞,9,武満徹,"もず,不良少年",音楽賞	武満 徹「もず」松竹、「不良少年」岩波
16,1961,録音賞,10,大角正夫,釈迦,録音賞	大角正夫「釈迦」大映
16,1961,教育文化映画賞,11,,,教育文化映画賞	理科映画：「メダカの卵」岩波映画製作所 短編劇映画：「山かげに生きる人達」英映画社 科学映画：「潤滑油」東京シネマ
16,1961,(企画賞),12,,,(企画賞)	「潤滑油」丸善石油
16,1961,ニュース映画賞,13,,,ニュース映画賞	朝日ニュース「ある保母さんの日記」を含む第815号日本映画新社
16,1961,特別賞,14,,,特別賞	大藤信郎多年にわたり千代紙および色彩影絵映画など動画の領域に残された幾多の功績
17,1962,日本映画大賞,0,,切腹,
17,1962,監督賞,1,市川崑,"私は二歳,破戒",監督賞	市川 崑「私は二歳」大映、「破戒」大映
17,1962,脚本賞,2,和田夏十,"私は二歳,破戒",脚本賞	和田夏十「私は二歳」大映、「破戒」大映
17,1962,男優主演賞,3,殿山泰司,人間,男優主演賞	殿山泰司「人間」近代映画協会
17,1962,女優主演賞,4,岡田茉莉子,"秋津温泉,今年の恋",女優主演賞	岡田茉莉子「秋津温泉」松竹、「今年の恋」松竹
17,1962,男優助演賞,5,東野英治郎,"秋刀魚の味,キューポラのある街",男優助演賞	東野英治郎「秋刀魚の味」松竹、「キューポラのある街」日活　その他
17,1962,女優助演賞,6,岸田今日子,"破戒,秋刀魚の味,忍びの者",女優助演賞	岸田今日子「破戒」大映、「秋刀魚の味」松竹、「忍びの者」大映
17,1962,撮影賞,7,厚田雄春,秋刀魚の味,撮影賞	厚田雄春「秋刀魚の味」松竹
17,1962,美術賞,8,"大角純一,戸田重昌",切腹,美術賞	大角純一　戸田重昌「切腹」松竹
17,1962,音楽賞,9,武満徹,"切腹,おとし穴",音楽賞	武満 徹「切腹」松竹、「おとし穴」勅使河原プロ
17,1962,録音賞,10,西崎英雄,切腹,録音賞	西崎英雄「切腹」松竹
17,1962,教育文化映画賞,11,,,教育文化映画賞	一般教養映画：「尾瀬」岩波映画製作所 社会教育映画：「石ころの歌」英映画社 科学映画：「パルスの世界―エレクトロニクスと生体と―」東京シネマ 学校教材映画：「ジガバチモドキの観察」科学映画研究所
17,1962,(企画賞),12,,,(企画賞)	学校教材映画「私たちの修学旅行」―奈良・京都―三菱銀行
17,1962,ニュース映画賞,13,,,ニュース映画賞	朝日ニュース「ある生活・お盆を迎えた老人の島」を含む第893号日本映画新社
17,1962,教育文化映画特別賞,14,,,教育文化映画特別賞	小林米作　東京シネマ作品「パルスの世界」その他科学映画の顕微鏡撮影に示した優れた技術
17,1962,大藤信郎賞,15,,,大藤信郎賞 [1962年設定]	手塚治虫　「ある街角の物語」アニメーション映画の領域で独創的な着想と優れた技術によって新鮮な様式美をつくりだした
18,1963,日本映画大賞,0,,天国と地獄,
18,1963,監督賞,1,今村昌平,にっぽん昆虫記,監督賞	今村昌平「にっぽん昆虫記」日活
